"ID Comida";"ID  BF";"Fecha Hora";"ID Donantes";"Tipo de comida";"Descripción";"Cantidad (un. o kg)"
"C386";"B007";"25/01/2021 22:08:53";"D001";"Comida preparada";"guisantes con jamón";"2"
"C386";"B004";"25/01/2021 22:08:23";"D001";"Comida preparada";"guisantes con jamón";"2"
"C383";"B007";"25/01/2021 22:07:00";"D001";"Comida preparada";"pasta con gulas";"2"
"C383";"B012";"25/01/2021 22:06:14";"D001";"Comida preparada";"pasta con gulas";"2"
"C387";"B012";"25/01/2021 22:04:25";"D001";"Comida preparada";"filetes pollo";"4"
"C387";"B007";"25/01/2021 22:03:23";"D001";"Comida preparada";"filetes pollo";"2"
"C387";"B004";"25/01/2021 22:02:39";"D001";"Comida preparada";"filetes pollo";"4"
"C382";"B001";"25/01/2021 22:01:15";"D011";"Bollos";"galletas y bollos";"3"
"C388";"B001";"25/01/2021 21:59:10";"D002";"Comida Preparada";"filetes de panga";"5"
"C384";"B001";"25/01/2021 21:57:28";"D001";"Comida Preparada";"escalopes";"4"
"C339";"B001";"25/01/2021 20:28:11";"D003";"Comida Preparada";"Paella";"2"
"C352";"B001";"25/01/2021 20:26:12";"D003";"Comida Preparada";"Alitas de pollo";"4"
"C342";"B004";"25/01/2021 20:21:47";"D003";"Comida Preparada";"Lentejas";"2"
"C377";"B012";"25/01/2021 20:20:15";"D002";"Comida Preparada";"Raviolis ternera";"3"
"C370";"B015";"25/01/2021 20:17:09";"D008";"Comida Preparada";"Crema de verduras";"2"
"C374";"B015";"21/01/2021 21:47:15";"D012";"Alimentos frescos";"Fruta";"2"
"C374";"B014";"21/01/2021 21:47:01";"D012";"Alimentos frescos";"Fruta";"2"
"C374";"B012";"21/01/2021 21:46:43";"D012";"Alimentos frescos";"Fruta";"2"
"C374";"B011";"21/01/2021 21:46:30";"D012";"Alimentos frescos";"Fruta";"2"
"C374";"B010";"21/01/2021 21:46:15";"D012";"Alimentos frescos";"Fruta";"2"
"C374";"B007";"21/01/2021 21:45:36";"D012";"Alimentos frescos";"Fruta";"2"
"C374";"B004";"21/01/2021 21:45:19";"D012";"Alimentos frescos";"Fruta";"2"
"C373";"B001";"21/01/2021 21:44:52";"D012";"Alimentos frescos";"Fruta";"2"
"C377";"B015";"21/01/2021 21:44:30";"D012";"Alimentos frescos";"Raviolis ternera";"2"
"C377";"B014";"21/01/2021 21:44:18";"D012";"Alimentos frescos";"Raviolis ternera";"2"
"C377";"B012";"21/01/2021 21:44:03";"D012";"Alimentos frescos";"Raviolis ternera";"2"
